DATE,NAME,TEAM_NAME,TEAM_AGAINST,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FG2M,CATCH_SHOOT_FGA,CATCH_SHOOT_FG2A,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,FG_AT_RIM_ALLOWED,FG_AT_RIM_FACED,DEF_RIM_FG_PCT,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT,PAINT_TOUCHES,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_PTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH,TOUCHES,POST_TOUCHES,POST_TOUCH_FGM,POST_TOUCH_FGA,POST_TOUCH_FG_PCT,POST_TOUCH_FTM,POST_TOUCH_FTA,POST_TOUCH_FT_PCT,POST_TOUCH_PTS,POST_TOUCH_PTS_PCT,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCH_FOULS,POST_TOUCH_FOULS_PCT,PULL_UP_FGM,PULL_UP_FG2M,PULL_UP_FGA,PULL_UP_FG2A,PULL_UP_FG_PCT,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_PTS,PULL_UP_EFG_PCT,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,DK_POINTS
2015-10-28,Jeremy Lin,CHA,MIA,27:01,1.0,0.0,2.0,0.0,0.5,3.0,1.0,2.0,0.5,0.75,3.0,4.0,0.75,6.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,0.667,3.0,0.5,0.0,0.0,0.0,0.0,3.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,44.0,49.0,2.0,0.0,0.0,6.0,5.0,2.0,0.045,0.045,17.0,63.0,55.0,3.3,3.1,2.6,0.27,2.0,2.0,2.0,0.0,1.5,1.5,63.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,0.2,1.0,1.0,1.0,3.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.333,1.0,0.5,3.1,1.0,0.0,1.0,0.0,3.0,0.333,1.0,0.5,3.1,11035.0,2.1,1.2,0.9,4.32,4.8,3.84,20.75
2015-10-30,Jeremy Lin,CHA,ATL,27:07,2.0,0.0,3.0,0.0,0.667,6.0,2.0,3.0,0.667,1.0,1.0,1.0,1.0,10.0,0.0,3.0,0.0,2.0,2.0,1.0,2.0,0.2,5.0,0.5,2.0,0.2,1.0,0.1,1.0,0.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,48.0,4.0,0.0,3.0,6.0,9.0,7.0,0.103,0.179,12.0,59.0,48.0,3.7,3.8,4.0,0.203,2.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.5,3.0,0.667,0.0,0.667,19.4,2.0,0.0,2.0,0.0,3.0,0.667,1.0,1.0,6.0,4.0,1.0,3.0,0.25,6.0,0.667,1.0,0.8,12.7,10613.0,2.0,1.2,0.9,4.38,5.07,4.13,23.5
2015-11-01,Jeremy Lin,CHA,ATL,21:28,1.0,0.0,5.0,0.0,0.2,3.0,1.0,5.0,0.2,0.3,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,42.0,5.0,0.0,2.0,8.0,10.0,6.0,0.156,0.188,7.0,47.0,44.0,3.4,4.4,4.5,0.149,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,21.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,20.1,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,20.5,7814.0,1.5,0.8,0.7,4.16,4.25,4.07,21.75
2015-11-03,Jeremy Lin,CHA,CHI,18:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,3.0,0.667,3.0,3.0,1.0,7.0,0.636,5.0,0.455,1.0,0.091,1.0,0.091,3.0,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,38.0,4.0,0.0,0.0,6.0,10.0,4.0,0.133,0.133,15.0,46.0,41.0,3.2,4.2,4.3,0.326,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,0.4,2.0,2.0,1.0,6.0,0.6,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.7,4.0,0.0,4.0,0.0,6.0,0.667,2.0,1.0,13.3,5.0,1.0,4.0,0.2,7.0,0.714,2.0,1.0,13.0,7445.0,1.4,0.8,0.6,4.47,4.88,4.07,28.75
2015-11-05,Jeremy Lin,CHA,DAL,17:07,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,4.0,1.0,2.0,0.5,1.0,1.0,1.0,3.0,0.75,1.0,0.25,0.0,0.0,1.0,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,2.0,2.0,1.0,4.0,5.0,5.0,0.091,0.227,7.0,34.0,31.0,3.2,5.7,6.0,0.206,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.333,0.0,1.0,0.0,2.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.333,2.0,1.0,8.6,1.0,1.0,0.0,1.0,3.0,0.333,2.0,1.0,8.6,6442.0,1.2,0.7,0.5,4.23,4.74,3.7,14.75
2015-11-07,Jeremy Lin,CHA,SAS,21:59,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,6.0,1.0,2.0,0.5,1.0,2.0,0.5,3.0,0.5,3.0,0.5,2.0,0.333,0.0,0.0,1.0,0.167,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,38.0,2.0,0.0,0.0,7.0,4.0,2.0,0.077,0.077,12.0,44.0,42.0,3.7,5.1,5.0,0.273,2.0,0.0,0.0,1.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,3.0,0.4,1.0,2.0,0.5,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,6.0,0.5,1.0,0.6,8.5,3.0,0.0,3.0,0.0,6.0,0.5,1.0,0.6,8.5,8501.0,1.6,0.8,0.8,4.37,4.86,4.0,17.75
2015-11-10,Jeremy Lin,CHA,MIN,25:56,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,8.0,4.0,5.0,0.8,0.0,1.0,0.0,8.0,1.0,3.0,0.375,0.0,0.0,0.0,0.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,32.0,3.0,0.0,1.0,6.0,8.0,4.0,0.176,0.235,19.0,33.0,31.0,2.8,5.1,5.4,0.576,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,7.0,1.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.5,1.0,1.0,9.6,1.0,0.0,1.0,0.0,2.0,0.5,1.0,1.0,9.6,9082.0,1.7,1.0,0.8,3.95,4.58,3.68,24.5
2015-11-11,Jeremy Lin,CHA,NYK,21:08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,5.0,0.8,0.0,0.0,0.0,8.0,0.889,1.0,0.111,1.0,0.111,2.0,0.222,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,41.0,3.0,0.0,1.0,7.0,7.0,4.0,0.103,0.138,17.0,47.0,43.0,4.5,5.8,6.2,0.362,1.0,0.0,0.0,2.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,5.0,0.5,1.0,1.0,1.0,7.0,0.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0,0.4,2.0,0.667,5.4,2.0,0.0,2.0,0.0,5.0,0.4,2.0,0.667,5.4,7814.0,1.5,0.7,0.7,4.26,4.45,3.59,28.75
2015-11-13,Jeremy Lin,CHA,CHI,16:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,4.0,0.25,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,26.0,1.0,1.0,0.0,2.0,4.0,2.0,0.043,0.087,4.0,32.0,27.0,2.8,5.3,5.1,0.125,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.333,0.0,1.0,0.0,2.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.333,0.0,0.333,5.8,1.0,0.0,1.0,0.0,3.0,0.333,0.0,0.333,5.8,6283.0,1.2,0.6,0.6,4.34,4.57,4.18,10.5
2015-11-15,Jeremy Lin,CHA,POR,20:14,1.0,0.0,4.0,0.0,0.25,3.0,1.0,4.0,0.25,0.375,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.4,2.0,0.4,1.0,0.2,1.0,0.2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,35.0,3.0,0.0,2.0,5.0,6.0,5.0,0.12,0.2,5.0,40.0,35.0,2.3,3.4,3.5,0.125,1.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,7286.0,1.4,0.8,0.6,4.16,4.63,3.58,12.75
2015-11-17,Jeremy Lin,CHA,NYK,28:25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.5,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,28.0,3.0,0.0,1.0,7.0,7.0,4.0,0.13,0.174,13.0,39.0,37.0,3.3,5.0,5.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.25,0.0,1.0,0.0,2.0,0.25,1.0,0.0,1.0,0.0,2.0,0.5,0.0,0.5,13.3,4.0,0.0,4.0,0.0,6.0,0.667,1.0,0.8,6.0,5.0,0.0,5.0,0.0,8.0,0.625,1.0,0.714,7.4,10930.0,2.1,1.1,1.0,4.36,5.14,3.8,22.0
2015-11-18,Jeremy Lin,CHA,BKN,28:52,0.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,10.0,2.0,4.0,0.5,2.0,2.0,1.0,6.0,0.6,3.0,0.3,1.0,0.1,1.0,0.1,2.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,51.0,4.0,1.0,0.0,6.0,11.0,5.0,0.085,0.106,13.0,68.0,54.0,4.3,3.8,4.0,0.191,1.0,2.0,2.0,0.0,2.0,2.0,68.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,7.6,8.0,0.0,8.0,0.0,10.0,0.8,0.0,0.8,5.7,9.0,1.0,8.0,0.111,11.0,0.818,0.0,0.818,5.9,10824.0,2.1,1.2,0.9,4.4,5.03,3.78,29.25
2015-11-20,Jeremy Lin,CHA,PHI,29:17,1.0,0.0,2.0,0.0,0.5,3.0,1.0,2.0,0.5,0.75,1.0,4.0,0.25,4.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.5,1.0,0.25,1.0,0.25,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21.0,2.0,0.0,0.0,4.0,4.0,2.0,0.143,0.143,9.0,27.0,22.0,1.6,3.5,2.9,0.333,0.0,2.0,2.0,0.0,2.0,2.0,27.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,7.4,3.0,0.0,3.0,0.0,4.0,0.75,0.0,0.75,7.4,11616.0,2.2,1.1,1.1,4.5,4.81,4.18,17.75
2015-11-23,Jeremy Lin,CHA,SAC,30:41,1.0,0.0,3.0,0.0,0.333,3.0,1.0,3.0,0.333,0.5,1.0,2.0,0.5,7.0,3.0,5.0,0.6,1.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.143,2.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,41.0,3.0,0.0,0.0,4.0,7.0,3.0,0.1,0.1,14.0,53.0,47.0,2.7,3.0,2.9,0.264,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.333,0.0,0.0,0.0,2.0,0.333,1.0,0.0,1.0,0.0,2.0,0.5,0.0,0.5,16.8,2.0,0.0,2.0,0.0,5.0,0.4,3.0,1.0,4.8,3.0,0.0,3.0,0.0,7.0,0.429,3.0,0.75,8.8,11880.0,2.3,1.2,1.1,4.5,4.78,4.21,26.0
2015-11-25,Jeremy Lin,CHA,WAS,15:16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,0.667,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,23.0,20.0,1.9,4.9,5.1,0.217,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,5650.0,1.1,0.6,0.5,4.32,4.93,3.82,7.5
2015-11-27,Jeremy Lin,CHA,CLE,19:53,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,7.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,0.286,3.0,0.429,0.0,0.0,1.0,0.143,1.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,30.0,4.0,0.0,0.0,7.0,9.0,4.0,0.16,0.16,7.0,37.0,31.0,3.1,5.1,5.3,0.189,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,5.0,0.8,1.0,1.0,6.3,4.0,0.0,4.0,0.0,6.0,0.667,1.0,0.8,6.3,7234.0,1.4,0.7,0.6,4.19,4.51,3.38,16.5
2015-11-29,Jeremy Lin,CHA,MIL,22:20,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.5,2.0,4.0,0.5,6.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.333,3.0,0.5,2.0,0.333,0.0,0.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,33.0,4.0,1.0,0.0,8.0,12.0,5.0,0.133,0.167,7.0,42.0,32.0,2.3,3.3,3.3,0.167,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.667,6.0,0.5,2.0,0.75,4.9,3.0,2.0,1.0,0.667,6.0,0.5,2.0,0.75,4.9,8131.0,1.5,0.9,0.7,3.99,4.81,3.71,16.25
