PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GAME_ID,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,DATE,IS_REGULAR_SEASON,GAME_ID,PLAYER_NAME,DK_POINTS
202691,Klay Thompson,1610612744,GSW,0021500003,1,1,0,26.0,1.0,4.0,0.25,2.0,0.0,2.0,0.0,0.25,2015-10-27,1,0021500003,Klay Thompson,19.5
202691,Klay Thompson,1610612744,GSW,0021500030,1,1,0,24.0,2.0,6.0,0.333,5.0,1.0,5.0,0.2,0.417,2015-10-30,1,0021500030,Klay Thompson,15.0
202691,Klay Thompson,1610612744,GSW,0021500035,1,1,0,27.0,2.0,5.0,0.4,6.0,2.0,4.0,0.5,0.6,2015-10-31,1,0021500035,Klay Thompson,27.0
202691,Klay Thompson,1610612744,GSW,0021500051,1,1,0,26.0,3.0,3.0,1.0,8.0,2.0,2.0,1.0,1.333,2015-11-02,1,0021500051,Klay Thompson,29.25
202691,Klay Thompson,1610612744,GSW,0021500069,1,1,0,32.0,2.0,5.0,0.4,4.0,0.0,1.0,0.0,0.4,2015-11-04,1,0021500069,Klay Thompson,33.5
202691,Klay Thompson,1610612744,GSW,0021500083,1,1,0,30.0,5.0,11.0,0.455,14.0,4.0,8.0,0.5,0.636,2015-11-06,1,0021500083,Klay Thompson,33.25
202691,Klay Thompson,1610612744,GSW,0021500092,1,1,0,36.0,5.0,13.0,0.385,14.0,4.0,11.0,0.364,0.538,2015-11-07,1,0021500092,Klay Thompson,28.0
202691,Klay Thompson,1610612744,GSW,0021500104,1,1,0,32.0,6.0,10.0,0.6,16.0,4.0,6.0,0.667,0.8,2015-11-09,1,0021500104,Klay Thompson,34.0
202691,Klay Thompson,1610612744,GSW,0021500120,1,1,0,35.0,3.0,6.0,0.5,8.0,2.0,4.0,0.5,0.667,2015-11-11,1,0021500120,Klay Thompson,24.75
202691,Klay Thompson,1610612744,GSW,0021500125,1,1,0,37.0,3.0,10.0,0.3,9.0,3.0,9.0,0.333,0.45,2015-11-12,1,0021500125,Klay Thompson,23.5
202691,Klay Thompson,1610612744,GSW,0021500164,1,1,0,34.0,2.0,9.0,0.222,5.0,1.0,8.0,0.125,0.278,2015-11-17,1,0021500164,Klay Thompson,25.0
202691,Klay Thompson,1610612744,GSW,0021500177,1,1,0,39.0,3.0,5.0,0.6,8.0,2.0,3.0,0.667,0.8,2015-11-19,1,0021500177,Klay Thompson,31.75
202691,Klay Thompson,1610612744,GSW,0021500187,1,1,0,36.0,3.0,5.0,0.6,8.0,2.0,3.0,0.667,0.8,2015-11-20,1,0021500187,Klay Thompson,25.0
202691,Klay Thompson,1610612744,GSW,0021500200,1,1,0,32.0,3.0,9.0,0.333,9.0,3.0,6.0,0.5,0.5,2015-11-22,1,0021500200,Klay Thompson,37.0
202691,Klay Thompson,1610612744,GSW,0021500214,1,1,0,28.0,2.0,8.0,0.25,6.0,2.0,6.0,0.333,0.375,2015-11-24,1,0021500214,Klay Thompson,19.75
202691,Klay Thompson,1610612744,GSW,0021500236,1,1,0,27.0,5.0,10.0,0.5,13.0,3.0,8.0,0.375,0.65,2015-11-27,1,0021500236,Klay Thompson,20.0
202691,Klay Thompson,1610612744,GSW,0021500245,1,1,0,26.0,4.0,8.0,0.5,11.0,3.0,6.0,0.5,0.688,2015-11-28,1,0021500245,Klay Thompson,20.0
202691,Klay Thompson,1610612744,GSW,0021500259,1,1,0,36.0,5.0,8.0,0.625,14.0,4.0,6.0,0.667,0.875,2015-11-30,1,0021500259,Klay Thompson,34.75
202691,Klay Thompson,1610612744,GSW,0021500268,1,1,0,29.0,5.0,11.0,0.455,13.0,3.0,9.0,0.333,0.591,2015-12-02,1,0021500268,Klay Thompson,29.75
202691,Klay Thompson,1610612744,GSW,0021500290,1,1,0,35.0,6.0,10.0,0.6,17.0,5.0,8.0,0.625,0.85,2015-12-05,1,0021500290,Klay Thompson,34.25
202691,Klay Thompson,1610612744,GSW,0021500300,1,1,0,32.0,3.0,9.0,0.333,9.0,3.0,9.0,0.333,0.5,2015-12-06,1,0021500300,Klay Thompson,35.5
202691,Klay Thompson,1610612744,GSW,0021500314,1,1,0,34.0,6.0,11.0,0.545,18.0,6.0,11.0,0.545,0.818,2015-12-08,1,0021500314,Klay Thompson,60.25
202691,Klay Thompson,1610612744,GSW,0021500351,1,0,1,30.0,1.0,6.0,0.167,3.0,1.0,5.0,0.2,0.25,2015-12-12,1,0021500351,Klay Thompson,20.25
202691,Klay Thompson,1610612744,GSW,0021500381,1,1,0,31.0,8.0,13.0,0.615,22.0,6.0,11.0,0.545,0.846,2015-12-16,1,0021500381,Klay Thompson,54.75
202691,Klay Thompson,1610612744,GSW,0021500397,1,1,0,37.0,2.0,8.0,0.25,6.0,2.0,7.0,0.286,0.375,2015-12-18,1,0021500397,Klay Thompson,41.75
202691,Klay Thompson,1610612744,GSW,0021500434,1,1,0,34.0,3.0,5.0,0.6,9.0,3.0,5.0,0.6,0.9,2015-12-23,1,0021500434,Klay Thompson,24.75
202691,Klay Thompson,1610612744,GSW,0021500438,1,1,0,36.0,2.0,5.0,0.4,5.0,1.0,3.0,0.333,0.5,2015-12-25,1,0021500438,Klay Thompson,28.75
202691,Klay Thompson,1610612744,GSW,0021500468,1,1,0,37.0,6.0,13.0,0.462,17.0,5.0,12.0,0.417,0.654,2015-12-28,1,0021500468,Klay Thompson,42.25
202691,Klay Thompson,1610612744,GSW,0021500480,1,0,1,34.0,1.0,6.0,0.167,3.0,1.0,2.0,0.5,0.25,2015-12-30,1,0021500480,Klay Thompson,13.25
202691,Klay Thompson,1610612744,GSW,0021500485,1,1,0,40.0,8.0,11.0,0.727,21.0,5.0,8.0,0.625,0.955,2015-12-31,1,0021500485,Klay Thompson,49.75
202691,Klay Thompson,1610612744,GSW,0021500504,1,1,0,46.0,4.0,16.0,0.25,10.0,2.0,8.0,0.25,0.313,2016-01-02,1,0021500504,Klay Thompson,43.0
202691,Klay Thompson,1610612744,GSW,0021500520,1,1,0,37.0,8.0,14.0,0.571,22.0,6.0,11.0,0.545,0.786,2016-01-04,1,0021500520,Klay Thompson,44.0
202691,Klay Thompson,1610612744,GSW,0021500524,1,1,0,34.0,6.0,13.0,0.462,17.0,5.0,10.0,0.5,0.654,2016-01-05,1,0021500524,Klay Thompson,44.25
202691,Klay Thompson,1610612744,GSW,0021500548,1,1,0,32.0,8.0,12.0,0.667,23.0,7.0,8.0,0.875,0.958,2016-01-08,1,0021500548,Klay Thompson,53.25
202691,Klay Thompson,1610612744,GSW,0021500556,1,1,0,35.0,1.0,6.0,0.167,3.0,1.0,6.0,0.167,0.25,2016-01-09,1,0021500556,Klay Thompson,29.0
202691,Klay Thompson,1610612744,GSW,0021500568,1,1,0,35.0,2.0,5.0,0.4,6.0,2.0,4.0,0.5,0.6,2016-01-11,1,0021500568,Klay Thompson,31.75
202691,Klay Thompson,1610612744,GSW,0021500583,1,0,1,37.0,4.0,7.0,0.571,10.0,2.0,4.0,0.5,0.714,2016-01-13,1,0021500583,Klay Thompson,25.75
202691,Klay Thompson,1610612744,GSW,0021500592,1,1,0,27.0,1.0,5.0,0.2,3.0,1.0,4.0,0.25,0.3,2016-01-14,1,0021500592,Klay Thompson,19.5
202691,Klay Thompson,1610612744,GSW,0021500605,1,0,1,32.0,2.0,7.0,0.286,5.0,1.0,4.0,0.25,0.357,2016-01-16,1,0021500605,Klay Thompson,32.25
202691,Klay Thompson,1610612744,GSW,0021500622,1,1,0,26.0,1.0,3.0,0.333,3.0,1.0,3.0,0.333,0.5,2016-01-18,1,0021500622,Klay Thompson,20.75
202691,Klay Thompson,1610612744,GSW,0021500634,1,1,0,32.0,3.0,8.0,0.375,9.0,3.0,7.0,0.429,0.563,2016-01-20,1,0021500634,Klay Thompson,35.0
202691,Klay Thompson,1610612744,GSW,0021500652,1,1,0,35.0,4.0,11.0,0.364,12.0,4.0,9.0,0.444,0.545,2016-01-22,1,0021500652,Klay Thompson,28.5
202691,Klay Thompson,1610612744,GSW,0021500675,1,1,0,25.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2016-01-25,1,0021500675,Klay Thompson,16.25
202691,Klay Thompson,1610612744,GSW,0021500691,1,1,0,32.0,7.0,10.0,0.7,20.0,6.0,9.0,0.667,1.0,2016-01-27,1,0021500691,Klay Thompson,59.5
202691,Klay Thompson,1610612744,GSW,0021500707,1,1,0,33.0,5.0,11.0,0.455,14.0,4.0,8.0,0.5,0.636,2016-01-30,1,0021500707,Klay Thompson,37.75
202691,Klay Thompson,1610612744,GSW,0021500718,1,1,0,32.0,7.0,8.0,0.875,18.0,4.0,4.0,1.0,1.125,2016-01-31,1,0021500718,Klay Thompson,40.75
202691,Klay Thompson,1610612744,GSW,0021500739,1,1,0,33.0,6.0,10.0,0.6,18.0,6.0,9.0,0.667,0.9,2016-02-03,1,0021500739,Klay Thompson,33.5
202691,Klay Thompson,1610612744,GSW,0021500769,1,1,0,34.0,2.0,6.0,0.333,5.0,1.0,5.0,0.2,0.417,2016-02-06,1,0021500769,Klay Thompson,22.5
202691,Klay Thompson,1610612744,GSW,0021500788,1,1,0,35.0,0.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,2016-02-09,1,0021500788,Klay Thompson,18.25
202691,Klay Thompson,1610612744,GSW,0021500799,1,1,0,33.0,4.0,10.0,0.4,11.0,3.0,9.0,0.333,0.55,2016-02-10,1,0021500799,Klay Thompson,40.5
202691,Klay Thompson,1610612744,GSW,0021500815,1,0,1,28.0,2.0,7.0,0.286,6.0,2.0,5.0,0.4,0.429,2016-02-19,1,0021500815,Klay Thompson,30.5
202691,Klay Thompson,1610612744,GSW,0021500822,1,1,0,40.0,4.0,10.0,0.4,12.0,4.0,8.0,0.5,0.6,2016-02-20,1,0021500822,Klay Thompson,52.5
202691,Klay Thompson,1610612744,GSW,0021500836,1,1,0,37.0,4.0,13.0,0.308,12.0,4.0,12.0,0.333,0.462,2016-02-22,1,0021500836,Klay Thompson,41.25
202691,Klay Thompson,1610612744,GSW,0021500848,1,1,0,34.0,6.0,12.0,0.5,16.0,4.0,8.0,0.5,0.667,2016-02-24,1,0021500848,Klay Thompson,46.25
202691,Klay Thompson,1610612744,GSW,0021500855,1,1,0,29.0,2.0,7.0,0.286,5.0,1.0,5.0,0.2,0.357,2016-02-25,1,0021500855,Klay Thompson,14.75
202691,Klay Thompson,1610612744,GSW,0021500874,1,1,0,39.0,2.0,7.0,0.286,6.0,2.0,7.0,0.286,0.429,2016-02-27,1,0021500874,Klay Thompson,43.5
202691,Klay Thompson,1610612744,GSW,0021500895,1,1,0,39.0,4.0,13.0,0.308,12.0,4.0,12.0,0.333,0.462,2016-03-01,1,0021500895,Klay Thompson,43.75
202691,Klay Thompson,1610612744,GSW,0021500911,1,1,0,34.0,1.0,6.0,0.167,3.0,1.0,6.0,0.167,0.25,2016-03-03,1,0021500911,Klay Thompson,30.75
202691,Klay Thompson,1610612744,GSW,0021500931,1,0,1,30.0,2.0,11.0,0.182,4.0,0.0,8.0,0.0,0.182,2016-03-06,1,0021500931,Klay Thompson,26.0
202691,Klay Thompson,1610612744,GSW,0021500943,1,1,0,36.0,4.0,11.0,0.364,12.0,4.0,10.0,0.4,0.545,2016-03-07,1,0021500943,Klay Thompson,38.0
202691,Klay Thompson,1610612744,GSW,0021500958,1,1,0,30.0,5.0,9.0,0.556,15.0,5.0,8.0,0.625,0.833,2016-03-09,1,0021500958,Klay Thompson,29.5
202691,Klay Thompson,1610612744,GSW,0021500971,1,1,0,32.0,7.0,12.0,0.583,20.0,6.0,8.0,0.75,0.833,2016-03-11,1,0021500971,Klay Thompson,47.25
202691,Klay Thompson,1610612744,GSW,0021500981,1,1,0,37.0,4.0,8.0,0.5,10.0,2.0,5.0,0.4,0.625,2016-03-12,1,0021500981,Klay Thompson,34.75
202691,Klay Thompson,1610612744,GSW,0021500996,1,1,0,26.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.5,2016-03-14,1,0021500996,Klay Thompson,21.5
202691,Klay Thompson,1610612744,GSW,0021501011,1,1,0,26.0,4.0,7.0,0.571,12.0,4.0,6.0,0.667,0.857,2016-03-16,1,0021501011,Klay Thompson,31.75
202691,Klay Thompson,1610612744,GSW,0021501026,1,1,0,34.0,9.0,13.0,0.692,27.0,9.0,13.0,0.692,1.038,2016-03-18,1,0021501026,Klay Thompson,58.5
202691,Klay Thompson,1610612744,GSW,0021501036,1,0,1,38.0,1.0,8.0,0.125,3.0,1.0,6.0,0.167,0.188,2016-03-19,1,0021501036,Klay Thompson,26.0
202691,Klay Thompson,1610612744,GSW,0021501050,1,1,0,30.0,5.0,6.0,0.833,15.0,5.0,5.0,1.0,1.25,2016-03-21,1,0021501050,Klay Thompson,29.25
202691,Klay Thompson,1610612744,GSW,0021501066,1,1,0,36.0,6.0,7.0,0.857,17.0,5.0,6.0,0.833,1.214,2016-03-23,1,0021501066,Klay Thompson,44.75
202691,Klay Thompson,1610612744,GSW,0021501080,1,1,0,35.0,6.0,12.0,0.5,18.0,6.0,11.0,0.545,0.75,2016-03-25,1,0021501080,Klay Thompson,55.5
202691,Klay Thompson,1610612744,GSW,0021501094,1,1,0,38.0,6.0,14.0,0.429,17.0,5.0,12.0,0.417,0.607,2016-03-27,1,0021501094,Klay Thompson,47.0
202691,Klay Thompson,1610612744,GSW,0021501112,1,1,0,32.0,4.0,11.0,0.364,10.0,2.0,7.0,0.286,0.455,2016-03-29,1,0021501112,Klay Thompson,26.25
202691,Klay Thompson,1610612744,GSW,0021501119,1,1,0,39.0,3.0,7.0,0.429,9.0,3.0,5.0,0.6,0.643,2016-03-30,1,0021501119,Klay Thompson,25.75
202691,Klay Thompson,1610612744,GSW,0021501136,1,0,1,37.0,3.0,7.0,0.429,8.0,2.0,5.0,0.4,0.571,2016-04-01,1,0021501136,Klay Thompson,25.0
202691,Klay Thompson,1610612744,GSW,0021501152,1,1,0,35.0,2.0,6.0,0.333,6.0,2.0,6.0,0.333,0.5,2016-04-03,1,0021501152,Klay Thompson,33.5
202691,Klay Thompson,1610612744,GSW,0021501163,1,0,1,40.0,4.0,11.0,0.364,11.0,3.0,10.0,0.3,0.5,2016-04-05,1,0021501163,Klay Thompson,37.5
202691,Klay Thompson,1610612744,GSW,0021501177,1,1,0,35.0,3.0,6.0,0.5,8.0,2.0,5.0,0.4,0.667,2016-04-07,1,0021501177,Klay Thompson,27.75
202691,Klay Thompson,1610612744,GSW,0021501190,1,1,0,35.0,2.0,10.0,0.2,6.0,2.0,9.0,0.222,0.3,2016-04-09,1,0021501190,Klay Thompson,34.5
202691,Klay Thompson,1610612744,GSW,0021501201,1,1,0,35.0,2.0,4.0,0.5,6.0,2.0,4.0,0.5,0.75,2016-04-10,1,0021501201,Klay Thompson,27.5
202691,Klay Thompson,1610612744,GSW,0021501227,1,1,0,28.0,3.0,7.0,0.429,9.0,3.0,7.0,0.429,0.643,2016-04-13,1,0021501227,Klay Thompson,25.0
